,Name,location,url,Founder Name,,,,,,,,,url
25,Aligned Technology Solutions,"Washington, DC",http://www.MyAlignedIT.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Don Sauer,,,,,,,,,
26,Bit by Bit Computer Consultants,"New York, NY",http://www.bitxbit.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Jon Steinbern,,,,,,,,,
27,B/Net Systems,"Annapolis, MD",https://www.bnetsystems.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,ERROR,,,,,,,,,
28,"Ascendant Technologies, Inc.","Franklin Township, NJ",https://ascendantusa.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Michael Franzyshen,,,,,,,,,
29,Computer Solutions East,"New Rochelle, NY",http://www.computersolutionseast.com/?utm_source=clutch.co&utm_medium=referral,Luke Celente,,,,,,,,,
30,BlackPoint IT,"Kent, WA",https://blackpoint-it.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Jon Murchison,,,,,,,,,
31,Metal Toad,"Los Angeles, CA",https://www.metaltoad.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Joaquin Lippincott,,,,,,,,,
32,Framework IT,"Chicago, IL",http://www.frameworkIT.com/?utm_source=clutch.co&utm_medium=referral,Nirav Patel,,,,,,,,,
33,"Pumex Computing, LLC","Laurel, MD",https://pumex.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Christopher Scirpoli,,,,,,,,,
34,Highland,"Chicago, IL",https://highlandsolutions.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=profile,Brian Sutherland,,,,,,,,,
35,Dev.Pro,"Charlotte, NC",https://dev.pro/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Jeff Bianco,,,,,,,,,
36,LME Services,"Hoffman Estates, IL",https://lmeservices.com/,Leon Engelking,,,,,,,,,
37,Beyondsoft Consulting Inc.,"Bellevue, WA",http://www.beyondsoft.com/,Roger Zhang,,,,,,,,,
38,Juern Technology,"San Antonio, TX",http://www.juerntech.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Neal Juern,,,,,,,,,
39,Sphere Partners,"Sunny Isles Beach, FL",https://sphereinc.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Leon Ginsburg,,,,,,,,,
40,Emergent Software,"Minneapolis, MN",http://web.emergentsoftware.net/profile-clutch,Jamie Anderson,,,,,,,,,
41,StackOverdrive.io,"New York, NY",https://www.stackoverdrive.net/?utm_source=clutch.co&utm_medium=referral,Jason Goldberg,,,,,,,,,
42,BetterWorld Technology,"Reston, VA",http://www.betterworldtechnology.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,ERROR,,,,,,,,,
43,Inventive Works,"Austin, TX",https://inventive.io/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,ERROR,,,,,,,,,
44,Resultant,"Indianapolis, IN",https://www.resultant.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Mark Caswell,,,,,,,,,
45,IT GOAT,"Dallas, TX",https://www.itgoat.com/clutch-landing-page/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,ERROR,,,,,,,,,
46,DAS42,"New York, NY",https://das42.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Nick Amabile,,,,,,,,,
47,SecureTech,"San Antonio, TX",https://www.getsecuretech.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,ERROR,,,,,,,,,
48,Mutual Mobile,"Austin, TX",https://mutualmobile.com/?utm_source=clutch.co&utm_medium=referral,John Arrow,,,,,,,,,
49,Direct Online Marketing,"Pittsburgh, PA",https://www.directom.com/?utm_source=clutch&utm_medium=referral,Justin Seibert,,,,,,,,,
50,Business Network Consulting,"Denver, CO",https://www.bncsystems.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Joe Kelly,,,,,,,,,
51,PCH Technologies,"Washington Township, NJ",https://pchtechnologies.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Timothy H. Guim,,,,,,,,,
52,Sunrise Integration,"Los Angeles, CA",https://www.sunriseintegration.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Coby Pfaff,,,,,,,,,
53,"Real IT Solutions, Inc","Walker, MI",http://www.realitsolutions.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Adam Peterson,,,,,,,,,
54,SF AppWorks,"San Francisco, CA",https://www.sfappworks.com/?utm_source=clutch.co&utm_medium=referral,Andrew Greenstein,,,,,,,,,
55,Realnets,"Park Ridge, IL",http://www.realnets.com/?utm_source=clutch.co&utm_medium=referral,Brian Schoen,,,,,,,,,
56,SMBHD,"Chicago, IL",https://www.smbhd.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Matthew Cleaver,,,,,,,,,
57,Framework Security,"Marina del Rey, CA",https://frameworksec.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=us-it-services,Jerry Sanchez,,,,,,,,,
58,Simply Smart Technology,"Chicago, IL",https://www.simplysmarttech.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Erin Kelley,,,,,,,,,
59,Red River,"Chantilly, VA",https://redriver.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Rick Bolduc,,,,,,,,,
60,Kinetech Cloud,"San Antonio, TX",http://www.kinetechcloud.com/?utm_source=clutch.co&utm_medium=referral,ERROR,,,,,,,,,
61,Platte River Networks,"Denver, CO",http://platteriver.com/,Treve Suazo,,,,,,,,,
62,New Peak Solutions,"New York, NY",http://www.newpeaksolutions.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Eugene Clynes,,,,,,,,,
63,Vertical Computers,"Chino, CA",https://verticalcomputers.com/?utm_source=themanifest.com&utm_medium=referral&utm_campaign=directory,Steven Sedory,,,,,,,,,
64,Sonatafy Technology,"Scottsdale, AZ",https://sonatafy.com/,Steve Taplin,,,,,,,,,
65,Network Computer Pros,"Davie, FL",https://www.networkcomputerpros.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Maurice Israel,,,,,,,,,
66,Faye,"Los Angeles, CA",https://fayedigital.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,David Faye,,,,,,,,,
67,Compoze Labs,"Minneapolis, MN",https://compozelabs.com/?utm_source=clutch.co&utm_medium=referral,ERROR,,,,,,,,,
68,MH Digital,"Denver, CO",https://mhdigitalgroup.com/?utm_source=clutch.co&utm_medium=referral,Adam Moncrief,,,,,,,,,
69,Convertiv,"Boston, MA",https://www.convertiv.com/?utm_source=clutch.co&utm_medium=referral,Kevin Palmer,,,,,,,,,
70,Anderson Collaborative,"Miami, FL",http://andersoncollaborative.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Trevor Anderson,,,,,,,,,
71,Proper Sky,"Glenside, PA",https://propersky.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,ERROR,,,,,,,,,
72,HUNTER Digital,"New York, NY",http://www.gethunter.com/?utm_source=clutch.co&utm_medium=referral,Eric Lituchy,,,,,,,,,
73,TECHBLEED,"Glendale, CA",https://techbleed.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,John Pogosyan,,,,,,,,,
74,IntegraMSP,"Dallas, TX",http://www.IntegraMSP.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Dan Gilligan,,,,,,,,,
75,Bits Kingdom,"Duluth, GA",https://bitskingdom.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Fabián Aramendi,,,,,,,,,
76,Cloudsquare,"Los Angeles, CA",https://cloudsquare.io/?utm_medium=referral&utm_source=clutch.co&utm_campaign=cloudsquare-list-it_services_us-2020_08_sp_silver&utm_content=link-website,Dennis Mikhailov,,,,,,,,,
77,IronGlove Studio,"Oregon City, OR",https://www.ironglove.studio/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Derek Neuts, MS",,,,,,,,,
78,Adalane Media Group,"Long Beach, CA",https://adalane.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Justin Lane,,,,,,,,,
79,Nybble Group,"Miami, FL",https://nybblegroup.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,ERROR,,,,,,,,,
80,Slingshot,"Louisville, KY",http://www.yslingshot.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Sanil Chawla,,,,,,,,,
81,Hashmaker Solutions,"Wilmington, DE",https://www.hashmakersol.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,ERROR,,,,,,,,,
82,WEBITMD,"Los Angeles, CA",http://www.WEBITMD.com/?utm_source=clutch&utm_medium=referral,Mattan Danino,,,,,,,,,
83,Monroe IT,"Monroe, MI",https://www.itmonroe.com/?utm_source=clutch.co&utm_medium=referral,Aaron Coch,,,,,,,,,
84,Tevpro,"Houston, TX",https://www.tevpro.com/custom-software-development-solutions,ERROR,,,,,,,,,
85,Positiwise Software Pvt Ltd,"Sheridan, WY",https://positiwise.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,ERROR,,,,,,,,,
86,Three Five Two,"Atlanta, GA",https://www.threefivetwo.com/?utm_source=clutch&utm_medium=display&utm_campaign=clutch_reviews,ERROR,,,,,,,,,
87,Advertas,"Houston, TX",https://www.advertas.com/?utm_source=clutch.co&utm_medium=referral,Laura Cuttill,,,,,,,,,
88,Aspire Marketing Group,"Pittsburgh, PA",https://www.aspiremarketing.group/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,ERROR,,,,,,,,,
89,BlueSteel Cybersecurity,"Columbia, MD",https://www.bluesteelcyber.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Ali Allage,,,,,,,,,
90,ONE12th,"Aventura, FL",https://one12th.io/?utm_source=clutch.co&utm_medium=referral,Alejandro Jaegerman,,,,,,,,,
91,Parthenon Software Group,"Vancouver, WA",https://www.parthenonsoftware.com/?utm_source=clutch&utm_medium=referral,Andy Schmitt,,,,,,,,,
92,Wendego I.T. Solutions,"San Diego, CA",https://www.wendego.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Eidan Elbaz,,,,,,,,,
93,PCA Technology Group,"Buffalo, NY",https://www.pcatg.com,Steve Szubinski,,,,,,,,,
94,MEC IT Services,"San Antonio, TX",http://mecits.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,ERROR,,,,,,,,,
95,Progressive IT Solutions,"Dallas, TX",https://www.progressiveitsolutions.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Mario DiMarcantonio,,,,,,,,,
96,S-Metric,"Glendale, CA",https://smetric.com/,Joshua Sung,,,,,,,,,
97,CloudMasonry,"Chicago, IL",https://cloudmasonry.com/?utm_source=clutch.co&utm_medium=referral,Peter Ryan,,,,,,,,,
98,Queryon,"Anchorage, AK",https://queryon.com/lets-chat/,Orion Matthews,,,,,,,,,
99,Ergonized,"New York, NY",https://www.ergonized.com/salesforce-consulting/?utm_source=clutch.co&utm_medium=referral,Arthur Koryaka,,,,,,,,,
100,a COUPLE of GURUS,"Minneapolis, MN",https://www.acoupleofgurus.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,ERROR,,,,,,,,,
101,CAL IT Group,"Huntington Beach, CA",http://www.calitgroup.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,ERROR,,,,,,,,,
102,Red2Black Group,"Fairfax Station, VA",https://www.red2blackgroup.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Patrick Mersinger,,,,,,,,,
103,Informulate,"Orlando, FL",https://www.informulate.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Rajiv Menon,,,,,,,,,
104,White Knight Labs,"Guys Mills, PA",https://whiteknightlabs.com/,Gregory Hatcher,,,,,,,,,
105,Vumetric Cybersecurity,"New York, NY",https://www.vumetric.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,ERROR,,,,,,,,,
106,12 Tech,"Cranford, NJ",https://12techllc.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Syed Shah,,,,,,,,,
107,ReputationDefender,"Redwood City, CA",https://www.reputationdefender.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory&rdrs=clutch&cid=clutchco,Rich Matta,,,,,,,,,
108,SkyPlanner,"Miami, FL",https://www.theskyplanner.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,ERROR,,,,,,,,,
109,Partners in Regulatory Compliance,"New York, NY",https://www.piregcompliance.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Erika Porcelli,,,,,,,,,
110,"Bamboo Software, LLC","Lyndhurst, OH",https://bamboosoftwarellc.com/,Michael Harris,,,,,,,,,
111,My Creative Mark,"Pasadena, CA",https://www.mycreativemark.com,Christian Nahas,,,,,,,,,
112,WeGotCode.com,"Canton, GA",http://wegotcode.com/?utm_source=clutch.co&utm_medium=referral,Shannon Price,,,,,,,,,
113,Steadfast Media,"Nashville, TN",http://www.steadfastmedia.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,ERROR,,,,,,,,,
114,Akuton Solutions,"Bristol, TN",https://akutonsolutions.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,ERROR,,,,,,,,,
115,ScienceSoft,"McKinney, TX",https://www.scnsoft.com/,Wade Brantley (Top 1% Viewed Profile),,,,,,,,,
116,Forte Group,"Chicago, IL",http://fortegrp.com/?utm_source=clutch.co&utm_medium=referral,Slava Kreynin,,,,,,,,,
117,MAS Global Consulting,"Tampa, FL",http://www.masglobalconsulting.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Monica Hernandez,,,,,,,,,
118,AllianceTek,"Malvern, PA",https://www.alliancetek.com/?utm_source=clutch.co&utm_medium=referral,Sunil Jagani,,,,,,,,,
119,iTechArt Group,"New York, NY",https://www.itechart.com/?utm_source=clutch&utm_medium=referral,Sergei Kovalenko,,,,,,,,,
120,BomberJacket Networks,"Andover, MN",https://www.bomberjacket.net/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Mike Bramm,,,,,,,,,
121,Coherent Solutions,"Minneapolis, MN",https://www.coherentsolutions.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Maksim Belov,,,,,,,,,
122,Icreon,"New York, NY",https://www.icreon.com/en?utm_campaign=listing&utm_medium=referral&utm_source=clutch,Himanshu Sareen,,,,,,,,,
123,DataRoot Labs,"Wilmington, DE",https://datarootlabs.com/?utm_source=clutch.co&utm_medium=referral,ERROR,,,,,,,,,
124,Cyberlands.io,"Vancouver, WA",https://www.cyberlands.io/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,ERROR,,,,,,,,,
125,HashCash Consultants,"Palo Alto, CA",https://www.hashcashconsultants.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,✅ Raj Chowdhury,,,,,,,,,
126,Ulfix,"Houston, TX",https://www.ulfix.dev/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,ERROR,,,,,,,,,
127,Unique Software Development,"Dallas, TX",http://www.uniquesoftwaredev.com/?utm_source=clutch.co&utm_medium=referral,Matt O'Brien,,,,,,,,,
128,Fingent,"White Plains, NY",https://www.fingent.com/custom-software-development/?utm_source=clutch&utm_medium=diamondsponsorship&utm_campaign=website,Varghese Samuel (Sam),,,,,,,,,
129,Andersen Inc.,"New York, NY",https://andersenlab.com?utm_source=clutch&utm_medium=buttom,Jared Mellick,,,,,,,,,
130,GoNet,"The Woodlands, TX",https://www.gonet.us/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Alejandro de la Maza,,,,,,,,,
131,Inflection Point,"Columbia, MD",http://www.ipointsystems.com/?utm_source=clutch.co&utm_medium=referral,Carlos Montemayor,,,,,,,,,
132,Accelerance,"Redwood City, CA",https://Accelerance.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Andy Hilliard,,,,,,,,,
133,"Peeklogic, LLC","Austin, TX",http://www.peeklogic.com/?utm_source=clutch.co&utm_medium=referral,Sergii Grushai,,,,,,,,,
134,Link Development,"Irvine, CA",http://www.linkdevelopment.com,ERROR,,,,,,,,,
135,Icalia Labs,"Austin, TX",http://www.icalialabs.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,ERROR,,,,,,,,,
136,CI&T,"Oakland, CA",https://ciandt.com/,ERROR,,,,,,,,,
137,Reliable Technology Services,"Frisco, TX",http://reliabletsi.com,Jason Denton,,,,,,,,,
138,Dataprise,"Rockville, MD",https://go.dataprise.com/clutch-contact-us,David E Eisner,,,,,,,,,
139,SADA Systems,"Los Angeles, CA",http://www.sadasystems.com,Hovig Safoian,,,,,,,,,
140,Trianz,"Santa Clara, CA",https://www.trianz.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Sri Manchala,,,,,,,,,
141,DataEndure,"San Jose, CA",https://www.dataendure.com/,ERROR,,,,,,,,,
142,Wavicle Data Solutions,"Chicago, IL",https://wavicledata.com,Naveen Venkatapathi,,,,,,,,,
143,SWC Technology Partners,"Oak Brook, IL",http://www.swc.com,ERROR,,,,,,,,,
144,Otava,"Ann Arbor, MI",https://www.otava.com/,Victoria Pereira,,,,,,,,,
145,The TNS Group,"Stamford, CT",https://thetnsgroup.com/,Ami Soifer,,,,,,,,,
146,Maven Wave Partners,"Chicago, IL",http://www.mavenwave.com,Jeff Lee,,,,,,,,,
147,Softweb Solutions,"Elgin, IL",http://www.softwebsolutions.com,Ripal Vyas,,,,,,,,,
148,RSM,"San Francisco, CA",http://www.mondaycall.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,ERROR,,,,,,,,,
149,Digital Edge Ventures,"Staten Island, NY",https://www.digitaledge.net/,Michael Petrov,,,,,,,,,
150,Preemo IT Support,"Miami, FL",https://www.preemo.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Ivan Mladenovic,,,,,,,,,
151,Affirma Consulting,"Los Angeles, CA",http://www.affirma.com/?ibp-adgroup=clutch,ERROR,,,,,,,,,
152,JetRails,"Des Plaines, IL",http://www.jetrails.com,Artur Fridberg,,,,,,,,,
153,R2 Unified Technologies,"Boca Raton, FL",http://www.r2ut.com,Jamie Doherty,,,,,,,,,
154,Matrix Networks,"Portland, OR",http://www.mtrx.com/,ERROR,,,,,,,,,
155,Helixstorm,"Temecula, CA",https://www.helixstorm.com/?utm_source=clutch.co&utm_medium=referral,Lazo Gjurich,,,,,,,,,
156,Stratosphere Networks,"Evanston, IL",http://www.stratospherenetworks.com/,Steve Melchiorre,,,,,,,,,
157,Kin + Carta,"Chicago, IL",https://kinandcarta.com/,J Schwan,,,,,,,,,
158,Entech,"Fort Myers, FL",https://entechus.com,Lavon Detweiler,,,,,,,,,
159,Mindsight,"Downers Grove, IL",http://www.gomindsight.com,ERROR,,,,,,,,,
160,Fantastic IT,"Torrance, CA",https://fantasticit.com/,Thomas Rowe,,,,,,,,,
161,SUCCESS Computer Consulting,"Golden Valley, MN",https://successcomputerconsulting.com/,ERROR,,,,,,,,,
162,"Wintellisys, Inc.","Memphis, TN",https://www.wintellisys.com,Chris Wess,,,,,,,,,
163,Velosio,"Dublin, OH",https://www.velosio.com/,Joe Longo,,,,,,,,,
164,Caserta,"New York, NY",https://caserta.com,Joe Caserta,,,,,,,,,
165,KiZAN Technologies,"Louisville, KY",https://www.kizan.com/,Robert Steele,,,,,,,,,
166,Edge Networks,"Vancouver, WA",http://www.edgenetworks.us/?utm_source=clutch&utm_medium=referral,ERROR,,,,,,,,,
167,"Ntiva, Inc.","McLean, VA",https://www.ntiva.com/,Steven Freidkin,,,,,,,,,
168,Pro4ia,"New York, NY",http://www.pro4ia.com,Sergio Deligiannis,,,,,,,,,
169,Wursta,"Roswell, GA",http://wursta.com,Matt Wursta,,,,,,,,,
170,NetEffect,"Las Vegas, NV",https://neteffect.com/contact-us/,David Rounds,,,,,,,,,
171,Ranger Business Solutions,"Dallas, TX",http://www.rangersolutions.com,ERROR,,,,,,,,,
172,Netkiller Inc.,"Palo Alto, CA",https://www.netkiller.com,Justin S.(Sung Wook) Jung,,,,,,,,,
173,Results Technology,"Overland Park, KS",https://www.resultstechnology.com/,Ajay Tyagi,,,,,,,,,
174,Leapfrog Services,"Atlanta, GA",https://leapfrogservices.com/,ERROR,,,,,,,,,
175,Onepath,"Kennesaw, GA",https://1path.com/,Holly Robinson,,,,,,,,,
176,Ashton Technology Solutions,"Beachwood, OH",http://www.ashtonsolutions.com,Jim Millican,,,,,,,,,
177,Precision IT Consulting,"Concord, CA",http://precisionitconsulting.com/,Kosta Paskos,,,,,,,,,
178,Locuz,"NY, NY",http://www.locuz.com/us,ERROR,,,,,,,,,
179,AKAVEIL Technologies LLC,"Fairview, NJ",https://www.akaveil.com,Ariel Perez,,,,,,,,,
180,Pointivity Managed Solutions,"San Diego, CA",https://pointivity.com/,ERROR,,,,,,,,,
181,Leverage IT Consulting,"Sacramento, CA",http://www.leverageitc.com/,ERROR,,,,,,,,,
182,Comstar Technologies,"West Chester, PA",http://www.comstar-usa.com/,ERROR,,,,,,,,,
183,US Cloud,"Fenton, MO",https://www.uscloud.com/,Robert E. LaMear IV,,,,,,,,,
184,Clarkston Consulting,"Durham, NC",https://clarkstonconsulting.com,Tom Finegan,,,,,,,,,
185,Sixwatch,"Tampa, FL",https://sixwatch.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directorycha,ERROR,,,,,,,,,
186,End Point,"New York, NY",http://www.endpointdev.com/?utm_source=clutch.co&utm_medium=referral,Scott Martino,,,,,,,,,
187,TotalCare IT,"Idaho Falls, ID",https://www.totalcareit.net/,Charles Berry,,,,,,,,,
188,Preactive IT Solutions,"Houston, TX",https://preactiveit.com,Charles Swihart,,,,,,,,,
189,Deft,"Chicago, IL",https://www.deft.com,Alex Gunnarson,,,,,,,,,
190,Standard Office Systems,"Duluth, GA",https://www.soscanhelp.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,ERROR,,,,,,,,,
191,SPR,"Chicago, IL",https://spr.com,ERROR,,,,,,,,,
192,Panorama Consulting Group,"Denver, CO",https://www.panorama-consulting.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,ERROR,,,,,,,,,
193,Ultra Consultants,"Oak Brook, IL",https://ultraconsultants.com/?utm_source=clutch.co&utm_medium=referral,Jeff Carr,,,,,,,,,
194,MNS Group,"Bel Air, MD",https://mnsgroup.com,Toby Musser,,,,,,,,,
195,Touchstone Security,"Allendale, NJ",https://touchstonesecurity.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Richard Shinnick ⭐️⭐️⭐️⭐️⭐️,,,,,,,,,
196,Citara Systems,"Marlborough, MA",http://www.citarasystems.com/,ERROR,,,,,,,,,
197,"Computer Services Unlimited, Inc. (CSU)","Owings Mills, MD",http://www.csu-it.com,Max Minkov,,,,,,,,,
198,HatchWorks Technologies,"Atlanta, GA",https://www.hatchworks.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Brandon Powell,,,,,,,,,
199,"Tactical Strategies, LLC","Dexter, MI",https://www.tactical-strategies.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Donald Frazier MacIver,,,,,,,,,
200,"Flagship Networks, Inc.","Shelton, CT",https://www.flagshipnetworks.com/,ERROR,,,,,,,,,
201,New Perspective Marketing,"Worcester, MA",https://www.npws.net/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Nathan Harris,,,,,,,,,
202,Parachute Technology,"San Ramon, CA",https://parachutetechs.com/,Ashley Lukehart,,,,,,,,,
203,Spectrum Technology Solutions,"Scottsdale, AZ",https://www.stsarizona.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Evon Reddy,,,,,,,,,
204,Epsilon,"San Francisco, CA",http://www.epsilon.com,ERROR,,,,,,,,,
